name,address,sentiment_compound,n_reviews_scored,pct_positive
Delite Chaat House,"621/B, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",0.634,7.0,0.857
Delite Chaat House,"Basement 2064, Siri Iris Building, 24th Main, N.R.T.A Enclave, HSR, Bangalore",0.426,3.0,0.667
Delite Chaat House,"Basement 2064, Siri Iris Building, 24th Main, N.R.T.A Enclave, HSR, Bangalore",0.479,4.0,0.75
Delite Chaat House,"Prestige Technology Park, Ring Road, Kadabesenahalli Village, Marathahalli, Bangalore",0.933,1.0,1.0
DeliToons,"900, 80 Feet Main Road, Eat Street , Koramangala 6th Block, Bangalore",0.801,294.0,0.901
DeliToons,"900, 80 Feet Main Road, Eat Street , Koramangala 6th Block, Bangalore",0.82,384.0,0.924
DeliToons,"900, 80 Feet Main Road, Eat Street , Koramangala 6th Block, Bangalore",0.813,264.0,0.913
DeliToons,"900, 80 Feet Main Road, Eat Street , Koramangala 6th Block, Bangalore",0.805,79.0,0.911
Delitz Creamvilla Cafe,"19, First Floor, Bellandur Bus Stop, Outer Ring Road, Opposite Central Mall, Bellandur, Bangalore",0.804,6.0,1.0
Delly Belly,"3rd Cross Road, Koramangala 6th Block, Bangalore",-0.341,1.0,0.0
Deshi Fusion Pizza,"23, New Binnamangala, 1st Stage, Old Madras Road, Bangalore",0.195,188.0,0.463
Deshi Fusion Pizza,"23, New Binnamangala, 1st Stage, Old Madras Road, Bangalore",0.244,163.0,0.521
Deshi Fusion Pizza,"23, New Binnamangala, 1st Stage, Old Madras Road, Bangalore",0.062,55.0,0.327
Deshi Fusion Pizza,"23, New Binnamangala, 1st Stage, Old Madras Road, Bangalore",0.276,193.0,0.58
Deshi Fusion Pizza,"23, New Binnamangala, 1st Stage, Old Madras Road, Bangalore",0.065,65.0,0.354
Desi Aahar,"44, 1st Floor, 100 Feet Ring Road, Above Vijaya Bank ATM, Vysya Bank Colony, 2nd Stage, BTM, Bangalore",0.869,1.0,1.0
Desi Adda,"4-413, Lakshmi Nivas, Next To Christ University, Bannerghatta Road, Bangalore",0.849,1.0,1.0
Desi Adda,"9th A Main Road, Behind HDFC Bank,1st Stage, BTM, Bangalore",0.524,12.0,0.75
Desi Adda,"9th A Main Road, Behind HDFC Bank,1st Stage, BTM, Bangalore",0.525,12.0,0.75
Desi Bites,"28, Near Nagawara Bridge, Munivenkatappa Layout, 4th Main Road, Nagawara, Bangalore",0.896,1.0,1.0
Desi Bites,"4 Kalpavruksha Complex, 5th Main, 13th cross, G M Palya, Thippasandra, Bangalore",0.842,1.0,1.0
Desi Bites,"4,13th Cross Road, Cauveri Colony, GM Palya, CV Raman Nagar, Bangalore",0.924,1.0,1.0
Desi Bites,"Food Parade, Spar Hypermarket, Bannerghatta Road, Bangalore",0.649,1.0,1.0
Desi Bites,"Ground Floor, CRM Sowbhagya Near Spice Garden Bus Stop, Marathahalli, Bangalore",0.545,209.0,0.833
Desi Bites,"Ground Floor, CRM Sowbhagya Near Spice Garden Bus Stop, Marathahalli, Bangalore",0.575,263.0,0.825
Desi Bites,"Ground Floor, CRM Sowbhagya Near Spice Garden Bus Stop, Marathahalli, Bangalore",0.587,99.0,0.859
Desi Bites,"Ground Floor, CRM Sowbhagya Near Spice Garden Bus Stop, Marathahalli, Bangalore",0.405,30.0,0.767
Desi Breakk,"Electronic City, Bangalore",0.537,11.0,0.818
Desi Breakk,"HSR, Bangalore",0.83,6.0,1.0
Desi Bytes,"11, Kodihalli, Old Airport Road, Bangalore",-0.207,3.0,0.333
Desi Bytes,"11, Kodihalli, Old Airport Road, Bangalore",0.127,2.0,0.5
Desi Bytes,"233, First Floor, Muniyappa Complex, Kadugodi Main Road, Whitefield, Bangalore",0.005,151.0,0.45
Desi Chai,"38/B3, 4th Cross Road,3rd Floor,Above Facebake Bakery, vaikuntam Layout, Lakshminarayanapura, AECS Layout, Marathahalli, Bangalore",0.152,2.0,0.5
Desi Chats,"5, Shivaganga Complex, Behind More Mega Store, Shivaganga Layout., Whitefield, Bangalore",0.904,4.0,1.0
Desi Chinese,Delivery Only,0.582,123.0,0.821
Desi Chinese,Delivery Only,0.412,80.0,0.725
Desi Chinese kitchen,"1st Floor, HAL 3rd Stage, Puttappa Layout, New Tippasandra, Indiranagar, Bangalore",0.783,2.0,1.0
Desi Chinese kitchen,"1st Floor, HAL 3rd Stage, Puttappa Layout, New Tippasandra, Indiranagar, Bangalore",0.814,2.0,1.0
Desi Chopstick,"2nd Cross, near Ayee Matha Temple, Sector 6, HSR, Bangalore",0.8,13.0,0.923
Desi Chopstick,"2nd Cross, near Ayee Matha Temple, Sector 6, HSR, Bangalore",0.801,13.0,0.923
Desi Chopstick,"2nd Cross, near Ayee Matha Temple, Sector 6, HSR, Bangalore",0.801,13.0,0.923
Desi Chopstick,"2nd Cross, near Ayee Matha Temple, Sector 6, HSR, Bangalore",0.796,13.0,0.923
Desi Chulha,"35, 2nd Floor, Tulasi Layout, Above Glam Studio, Opposite SJR Verity, Kasavanahalli, Sarjapur Road, Bangalore",0.634,1.0,1.0
Desi Cream Junction,"7th Main Road, 4th Block, Jayanagar East, Bangalore",0.799,47.0,0.957
Desi Cream Junction,"7th Main Road, 4th Block, Jayanagar East, Bangalore",0.754,27.0,0.926
Desi Cream Junction,"7th Main Road, 4th Block, Jayanagar East, Bangalore",0.73,22.0,0.909
Desi Cream Junction,"7th Main Road, 4th Block, Jayanagar East, Bangalore",0.769,25.0,0.92
Desi Dawat,"1328, 50 Feet Road, Stage 1, Kumaraswamy Layout, Bangalore",0.185,2.0,0.5
Desi Deck,"120, 4th Floor, Lancer Building, Brigade Road, Bangalore",0.685,7.0,0.857
Desi Deck,"120, 4th Floor, Lancer Building, Brigade Road, Bangalore",0.717,7.0,0.857
Desi Deck,"120, 4th Floor, Lancer Building, Brigade Road, Bangalore",0.717,7.0,0.857
Desi Dhaba,"16th Main Road, 1st Stage, 1st Phase, BTM, Bangalore",0.219,5.0,0.6
Desi Dhaba,"208, 1st Main, 7th Block, Koramangala 7th Block, Bangalore",0.625,1.0,1.0
Desi Dhaba,"Hosur Main Road, Electronic City, Bangalore",0.174,500.0,0.516
Desi Dhaba,"Hosur Main Road, Electronic City, Bangalore",0.189,462.0,0.522
Desi Doze,"1, Nallurhalli Road, Opposite Brigade RV Center, Whitefield, Bangalore",0.462,228.0,0.706
Desi Doze,"1, Nallurhalli Road, Opposite Brigade RV Center, Whitefield, Bangalore",0.436,203.0,0.69
Desi Doze,"1, Nallurhalli Road, Opposite Brigade RV Center, Whitefield, Bangalore",0.199,39.0,0.538
Desi Doze,"1, Nallurhalli Road, Opposite Brigade RV Center, Whitefield, Bangalore",0.29,47.0,0.617
Desi Flavours,"11, 1st Main, 1st Cross, Jakkasandra Extension, Koramangala 1st Block, Bangalore",-0.053,1.0,0.0
Desi Foodizzz,"1st Floor, N.S Complex, ITPL Main Road, Kundalahalli Gate, Brookefield, Bangalore",0.692,18.0,0.944
Desi Foodizzz,"1st Floor, N.S Complex, ITPL Main Road, Kundalahalli Gate, Brookefield, Bangalore",0.693,18.0,0.944
Desi Foodizzz,"1st Floor, N.S Complex, ITPL Main Road, Kundalahalli Gate, Brookefield, Bangalore",0.698,23.0,0.957
Desi Foodizzz,"1st Floor, N.S Complex, ITPL Main Road, Kundalahalli Gate, Brookefield, Bangalore",0.699,23.0,0.957
Desi Grill,"19, Kempe Gowda Underpass Road, East of NGEF Layout, Dooravani Nagar, Rammurthy Nagar, Bangalore",0.359,36.0,0.667
Desi Inn,"No.46/A, 1st floor - front building , lalbagh road, bangalore, 560027",0.916,1.0,1.0
Desi Jalpaan,"Shop 39, 22nd Cross, 24th Main Road, JP Nagar Phase 7, Bangalore",0.913,1.0,1.0
Desi Khana,"1, Siddhapura, Varthur Main Road, Whitefield, Bangalore",-0.037,6.0,0.5
Desi Khana,"1, Siddhapura, Varthur Main Road, Whitefield, Bangalore",-0.021,6.0,0.5
Desi Khana,"140, Pantdur Agrahara, Near ITPL Backgate, Next to Surya Home PG, Whitefield, Bangalore",0.338,6.0,0.667
Desi Khana,"140, Pantdur Agrahara, Near ITPL Backgate, Next to Surya Home PG, Whitefield, Bangalore",0.434,5.0,0.8
Desi Qulfi,"14, Opposite Carmel Stars School, 25, Hagadur Main Road, Whitefield, Bangalore",0.944,2.0,1.0
Desi Qulfi,"14, Opposite Carmel Stars School, 25, Hagadur Main Road, Whitefield, Bangalore",0.944,2.0,1.0
Desi Rasoi,"57, 1st & 2nd Floor, SLV Arcade, 40th Cross, 5th Block, Jayanagar, Bangalore",0.398,10.0,0.9
Desi Rasoi,"57, 1st & 2nd Floor, SLV Arcade, 40th Cross, 5th Block, Jayanagar, Bangalore",0.378,14.0,0.857
Desi Streat,"Garuda Mall, 3rd Floor, 15 Magrath Road, Craig Park Layout, Ashok Nagar, Bengaluru",0.337,3.0,0.667
Desi Streat,"Garuda Mall, 3rd Floor, 15 Magrath Road, Craig Park Layout, Ashok Nagar, Bengaluru",0.34,3.0,0.667
Desi Swaad,"1554, 11th Cross, 1st Stage, Kumarswamy Layout, Near Sagar Hospital, Kumaraswamy Layout, Bangalore",0.884,3.0,1.0
Desi Tadka,"Velankanni Tech Park Road, Opposite HP 4th Gate, Electronic City Bangalore",0.238,11.0,0.545
Desi Urbane,"8, 16th Main, 5th Cross, 2nd Stage, BTM, Bangalore",0.194,167.0,0.575
Desi Urbane,"8, 16th Main, 5th Cross, 2nd Stage, BTM, Bangalore",0.163,235.0,0.557
Desi Vdesi,"15, SG Palya Main Road, Near Srinivasa Theater, BTM, Bangalore",0.927,2.0,1.0
Desi Vdesi,"15, SG Palya Main Road, Near Srinivasa Theater, BTM, Bangalore",0.931,2.0,1.0
Desi Vdesi,"15, SG Palya Main Road, Near Srinivasa Theater, BTM, Bangalore",0.934,1.0,1.0
Desi Vdesi,"48, Triump Tower, Church Street, Bangalore",0.447,4.0,0.75
Desi Vdesi,"48, Triump Tower, Church Street, Bangalore",0.446,4.0,0.75
Desi Vdesi,"54, Bassappa Road, Corporation Bank Cross, Shanti Nagar, Bangalore",0.675,5.0,0.8
Desi Vdesi,"54, Bassappa Road, Corporation Bank Cross, Shanti Nagar, Bangalore",0.615,4.0,0.75
Desi Vdesi,"54, Bassappa Road, Corporation Bank Cross, Shanti Nagar, Bangalore",0.87,3.0,1.0
Desi Vibes,"B-5, Hermain Complex, 16th Main, 2nd Stage",0.866,1.0,1.0
Desi Vibes,"Food Court, Soul Space Arena, Doddanekundi, Marathahalli, Bangalore",0.414,1.0,1.0
Desi Wok,"251/1009, Near Vijaya Bank Layout, Bilekahalli, 4th Stage, BTM, Bangalore",0.242,85.0,0.635
Desi Wok,"251/1009, Near Vijaya Bank Layout, Bilekahalli, 4th Stage, BTM, Bangalore",0.237,90.0,0.633
Desi Wok,"251/1009, Near Vijaya Bank Layout, Bilekahalli, 4th Stage, BTM, Bangalore",0.217,125.0,0.624
Desi Wok,"251/1009, Near Vijaya Bank Layout, Bilekahalli, 4th Stage, BTM, Bangalore",0.317,92.0,0.674
Desi Zaika,"279/4, Kaggadasapura Main Road, Near, 29th Cross Rd, Abbaiah Reddy Layout, Kaggadasapura, Bengaluru",0.006,204.0,0.397
Desipun,"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",0.844,16.0,1.0
Desipun,"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",0.819,13.0,1.0
Desipun,"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",0.852,16.0,1.0
Desipun,"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",0.829,13.0,1.0
Desipun,"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",0.791,10.0,1.0
Desipun,"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",0.838,14.0,1.0
Desipun,"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",0.838,14.0,1.0
Desipun,"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",0.838,14.0,1.0
Desipun,"488, KHB Colony, 1st Cross, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",0.838,14.0,1.0
Despiwich Dragon's Kitchen,"357, 3rd D Cross, OMBR Layout, Banaswadi, Bangalore",0.921,3.0,1.0
Despiwich Dragon's Kitchen,"357, 3rd D Cross, OMBR Layout, Banaswadi, Bangalore",0.931,5.0,1.0
Dessert Rose,"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",0.956,1.0,1.0
Desserts Tree,"19, Teacher's Colony, 3rd Main Road, Jakkasandra Extension, Koramangala 1st Block",0.869,4.0,1.0
Desserts Tree,"19, Teacher's Colony, 3rd Main Road, Jakkasandra Extension, Koramangala 1st Block",0.869,4.0,1.0
Desserts Tree,"19, Teacher's Colony, 3rd Main Road, Jakkasandra Extension, Koramangala 1st Block",0.869,4.0,1.0
Desserts Tree,"19, Teacher's Colony, 3rd Main Road, Jakkasandra Extension, Koramangala 1st Block",0.889,3.0,1.0
Dessi Cuppa,"2719, 16th Cross, 31st Main, Near NIFT, 1st Sector, HSR, Bangalore",0.528,54.0,0.796
Dessi Cuppa,"2719, 16th Cross, 31st Main, Near NIFT, 1st Sector, HSR, Bangalore",0.592,2.0,1.0
Dessi Cuppa,"2719, 16th Cross, 31st Main, Near NIFT, 1st Sector, HSR, Bangalore",0.572,1.0,1.0
Dessi Cuppa,"57/1, 7th Main Road, Yellappa Layout, 2nd Stage, BTM, Bangalore",0.814,3.0,1.0
Detox Kitchen,"Shop 4, Building 240 Umc medical inside, 27th Main Road, Sector 2, HSR, Bangalore",-0.841,2.0,0.0
Detox Kitchen,"Shop 4, Building 240 Umc medical inside, 27th Main Road, Sector 2, HSR, Bangalore",-0.841,2.0,0.0
Dev Sagar - Food Street,"11/2, Old Market, V V Puram, Basavanagudi, Bangalore",0.901,5.0,1.0
Dev Sagar - Food Street,"11/2, Old Market, V V Puram, Basavanagudi, Bangalore",0.901,5.0,1.0
Dev's Gugababa,"25, 6th main, Mico Layout, BTM layout 2nd Stage, BTM, Bangalore",-0.198,4.0,0.25
Dev's Gugababa,"25, 6th main, Mico Layout, BTM layout 2nd Stage, BTM, Bangalore",-0.198,4.0,0.25
Dev's Gugababa,"25, 6th main, Mico Layout, BTM layout 2nd Stage, BTM, Bangalore",-0.264,3.0,0.333
Dev's Gugababa,"25, 6th main, Mico Layout, BTM layout 2nd Stage, BTM, Bangalore",-0.263,3.0,0.333
Devanna Dum Biriyani Centre,"16th Main Road, Near PESIT College, Banashankari, Bangalore",0.042,6.0,0.5
Devi's Cakes N Bakes,"6021, Sobha Dahlia, Bellandur, Bangalore",0.84,52.0,1.0
Devi's Cakes N Bakes,"6021, Sobha Dahlia, Bellandur, Bangalore",0.859,32.0,1.0
Dezzertz,"B-63, Ganga Heights, 24 Cross, 18 Main, 1st Stage, Block 5, HBR Layout, Bangalore",0.985,1.0,1.0
DG Juice Club,"Kothnur Village Main Road, Nataraja Layout, 7th Phase, JP Nagar, Bangalore",0.927,1.0,1.0
Dhaba - Estd 1986 Delhi,"618, 2nd Floor, Above Chicco, 12th Main, Indiranagar, Bengaluru",0.806,108.0,0.981
Dhaba - Estd 1986 Delhi,"618, 2nd Floor, Above Chicco, 12th Main, Indiranagar, Bengaluru",0.75,68.0,0.941
Dhaba - Estd 1986 Delhi,"618, 2nd Floor, Above Chicco, 12th Main, Indiranagar, Bengaluru",0.724,82.0,0.927
Dhaba - Estd 1986 Delhi,"618, 2nd Floor, Above Chicco, 12th Main, Indiranagar, Bengaluru",0.73,82.0,0.927
Dhaba - Estd 1986 Delhi,"618, 2nd Floor, Above Chicco, 12th Main, Indiranagar, Bengaluru",0.828,137.0,1.0
Dhaba - Estd 1986 Delhi,"618, 2nd Floor, Above Chicco, 12th Main, Indiranagar, Bengaluru",0.875,52.0,1.0
Dhaba - Estd 1986 Delhi,"618, 2nd Floor, Above Chicco, 12th Main, Indiranagar, Bengaluru",0.782,71.0,1.0
Dhaba - Estd 1986 Delhi,"618, 2nd Floor, Above Chicco, 12th Main, Indiranagar, Bengaluru",0.828,55.0,1.0
Dhaba Bytes,"78 Ground Floor, Right Wing, 14th Cross Road, 11th Main Rd, Sector 6, HSR Layout, Bangalore",0.83,10.0,0.9
Dhaba Bytes,"78 Ground Floor, Right Wing, 14th Cross Road, 11th Main Rd, Sector 6, HSR Layout, Bangalore",0.831,9.0,0.889
Dhaba Central,"837, 11th Cross, 26th Main, Sector 1, HSR, Bangalore",0.949,1.0,1.0
Dhaba Estd 1986 Delhi,"1st Floor, NTR Royal Plaza, Outer Ring Road, Marathahalli, Bangalore",0.823,239.0,0.954
Dhaba Estd 1986 Delhi,"1st Floor, NTR Royal Plaza, Outer Ring Road, Marathahalli, Bangalore",0.817,298.0,0.946
Dhaba Estd 1986 Delhi,"1st Floor, NTR Royal Plaza, Outer Ring Road, Marathahalli, Bangalore",0.791,155.0,0.942
Dhaba Estd 1986 Delhi,"1st Floor, NTR Royal Plaza, Outer Ring Road, Marathahalli, Bangalore",0.779,155.0,0.929
Dhaba Express,"7, 1st Floor, HSR Layout, Sector 7, Bangalore",0.282,347.0,0.605
Dhaba Express,"7, 1st Floor, HSR Layout, Sector 7, Bangalore",0.247,503.0,0.577
Dhaba Express,"7, 1st Floor, HSR Layout, Sector 7, Bangalore",0.141,35.0,0.429
Dhaba Express,"7, 1st Floor, HSR Layout, Sector 7, Bangalore",0.196,80.0,0.575
Dhaba Express,"7, 1st Floor, HSR Layout, Sector 7, Bangalore",0.277,683.0,0.608
Dhaba Express,"7, 1st Floor, HSR Layout, Sector 7, Bangalore",0.05,145.0,0.469
Dhaba Express,"7, 1st Floor, HSR Layout, Sector 7, Bangalore",0.295,563.0,0.613
Dhaba Express,"7, 1st Floor, HSR Layout, Sector 7, Bangalore",0.067,65.0,0.4
Dhaba Shaba,"3, Ground Floor, Lingappa Reddy Complex, Kaikondarahalli, Sarjapur Road, Bangalore",0.647,3.0,1.0
Dhaba Shaba,"3, Ground Floor, Lingappa Reddy Complex, Kaikondarahalli, Sarjapur Road, Bangalore",0.516,2.0,1.0
Dhaba Social,"5/3, BEML Layout, Varthur Main Road, Kundanahalli Gate, Brookefield, Bangalore",0.636,13.0,0.846
Dhaba Social,"5/3, BEML Layout, Varthur Main Road, Kundanahalli Gate, Brookefield, Bangalore",0.709,14.0,0.929
Dhaba Social,"5/3, BEML Layout, Varthur Main Road, Kundanahalli Gate, Brookefield, Bangalore",0.715,14.0,0.929
Dhabeliwala,"Shop 11, 24th Main Road, Ayodya Nagar, Phase 5, JP Nagar, Bangalore",0.833,2.0,1.0
Dhadoom,"3rd Floor, Food Court, Mantri Square Mall, Sampige Road, Malleshwaram West, Malleshwaram",0.694,6.0,0.833
Dhadoom,"3rd Floor, Food Court, Mantri Square Mall, Sampige Road, Malleshwaram West, Malleshwaram",0.694,6.0,0.833
Dhadoom,"3rd Floor, Food Court, Mantri Square Mall, Sampige Road, Malleshwaram West, Malleshwaram",0.651,5.0,0.8
Dhadoom,"703, 3rd Cross, 1st Block, Hrbr layout, Kalyan Nagar, Bangalore",0.496,4.0,0.75
Dhadoom,"703, 3rd Cross, 1st Block, Hrbr layout, Kalyan Nagar, Bangalore",0.524,4.0,0.75
Dhadoom,"FB 10, 3rd Floor, VR Bangalore, Mahadevapura, Whitefield, Bangalore",0.826,1.0,1.0
Dhadoom,"FB 10, 3rd Floor, VR Bangalore, Mahadevapura, Whitefield, Bangalore",0.683,2.0,1.0
Dhana Lakshmi Family Restaurant,"Near Ganesha Temple, Seraswathipura, Rajajinagar, Bangalore",0.565,1.0,1.0
Dhanalakshmi Grand,"267 Near 18Th Cross Signal, Sampige Road, Malleshwaram, Bangalore",0.867,1.0,1.0
Dhang Ka Khana,"Rama Temple Road, Next to ICICI ATM, Ejipura, Bangalore",0.493,22.0,0.773
Dhang Ka Khana,"Rama Temple Road, Next to ICICI ATM, Ejipura, Bangalore",0.477,1.0,1.0
Dhanlaxmi Sweets & Chats,"535, B Block, Aces Layout, Kundalahalli, Brookefield, Bangalore",0.984,1.0,1.0
Dhanya Nati Style Restaurant,"13, 8th Cross Road, Srikanteswara Nagar, Nandini Layout, Rajajinagar, Bangalore",0.172,9.0,0.444
Dhanya Nati Style Restaurant,"13, 8th Cross Road, Srikanteswara Nagar, Nandini Layout, Rajajinagar, Bangalore",0.172,9.0,0.444
Dharani Foods,"118, Raghu Building, 1st Floor, 1st Cross, Hanumantha Reddy Layout, Near Horamavu Singal, Banaswadi, Bangalore",0.679,17.0,0.882
Dharani Foods,"118, Raghu Building, 1st Floor, 1st Cross, Hanumantha Reddy Layout, Near Horamavu Singal, Banaswadi, Bangalore",0.797,37.0,0.946
Dharwad Line Bazar Mishra Pedha,"895, 50th Cross, 3rd Block, Rajajinagar, Bangalore",0.868,4.0,1.0
Dhe Chef Cafe,"85, 7th Main Nico Layout, BTM, Bangalore",0.959,1.0,1.0
Dhruva's Munch & Sip,"21/28, Radhakrishna Nilaya, Opp SEA Institutions, Ayappa Nagar, KR Puram, Bangalore",0.755,1.0,1.0
Dhuaan,"66, First Floor, JNC Road, Koramangala 5th Block, Bangalore",0.531,7.0,0.714
Dhuaan,"66, First Floor, JNC Road, Koramangala 5th Block, Bangalore",0.731,13.0,0.846
Dhuaan,"66, First Floor, JNC Road, Koramangala 5th Block, Bangalore",0.899,30.0,0.967
Dhuaan,"66, First Floor, JNC Road, Koramangala 5th Block, Bangalore",0.747,14.0,0.857
Dhuaan,"66, First Floor, JNC Road, Koramangala 5th Block, Bangalore",0.747,14.0,0.857
Dhuaan,"66, First Floor, JNC Road, Koramangala 5th Block, Bangalore",0.22,4.0,0.5
Dhuaan,"66, First Floor, JNC Road, Koramangala 5th Block, Bangalore",0.847,29.0,0.931
Dhuaan,"66, First Floor, JNC Road, Koramangala 5th Block, Bangalore",0.79,19.0,0.895
Dhyaana,"756, Shri Krishna Temple Road, Next to HDFC Bank, Indiranagar, Bangalore",0.944,9.0,1.0
Dhyaana,"756, Shri Krishna Temple Road, Next to HDFC Bank, Indiranagar, Bangalore",0.954,10.0,1.0
Diabetics Dezire Sugarless Sweets and Bakes,"92/1, Gandhi Bazaar Main Road, Basavangudi. Next to Vodafone Showroom, Basavanagudi, Bangalore",0.475,2.0,0.5
Dialogues,"41, 100 Feet Road, Koramangala 4th Block, Bangalore",0.82,5.0,1.0
Dialogues,"57, 15th Cross Road, Outer Ring Road, Phase 6, JP Nagar, Bangalore",0.94,5.0,1.0
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.992,1.0,1.0
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.857,108.0,0.954
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.883,96.0,0.969
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.904,85.0,0.976
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.89,137.0,0.971
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.901,79.0,0.975
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.915,171.0,0.988
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.781,39.0,0.923
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.881,128.0,0.977
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.841,124.0,0.952
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.808,84.0,0.94
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.866,29.0,1.0
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.864,81.0,0.975
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.871,128.0,0.969
Dice N Dine,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",0.851,105.0,0.952
Didi's Kitchen,"11/A, 5th Cross, 5th Main, Thanisandra Main Road, Nagawara, Bangalore",-0.403,5.0,0.2
Dil Punjabi,"36, C.K.B Layout,Near Nest Backry, Munnekolala, Marathahalli, Bangalore",0.206,3.0,0.667
Dil Punjabi,"36, C.K.B Layout,Near Nest Backry, Munnekolala, Marathahalli, Bangalore",0.402,2.0,1.0
Dil Se Dilli,"956, 1st Floor, 1st Main, Rajapalya, Hoodi, ITPL Main Road, Whitefield, Bangalore",0.614,3.0,0.667
Dil Se Dilli,"956, 1st Floor, 1st Main, Rajapalya, Hoodi, ITPL Main Road, Whitefield, Bangalore",0.488,2.0,0.5
Dil Se Punjabi,"7, P & T Colony, 80 Feet Road, RT Nagar, Bengaluru",0.272,4.0,0.75
Diletto,"Opposite Bannerghatta National Park, Bannerghatta Road, Bangalore",0.701,11.0,0.909
Dilish Kitchens,"20, 6th Cross, 4th A Main, N.S Palya, Dollors Colony, BTM 2nd Stage, Bangalore, BTM, Bangalore",0.627,19.0,0.842
Dilish Kitchens,"20, 6th Cross, 4th A Main, N.S Palya, Dollors Colony, BTM 2nd Stage, Bangalore, BTM, Bangalore",0.554,39.0,0.795
Dilish Kitchens,"20, 6th Cross, 4th A Main, N.S Palya, Dollors Colony, BTM 2nd Stage, Bangalore, BTM, Bangalore",0.627,19.0,0.842
Dilish Kitchens,"20, 6th Cross, 4th A Main, N.S Palya, Dollors Colony, BTM 2nd Stage, Bangalore, BTM, Bangalore",0.627,19.0,0.842
Dilli ??,Delivery Only,0.881,2.0,1.0
Dilli 6,"Bettadasanpura Main Road, Behind Ajmera Infinity Apartment, Doddathogur, Electronic City, Bangalore",0.636,19.0,0.789
Dilli Darbar,"107, Praveen Transport Complex, Near ITPL Gate 3, Pattandur, Agrahara, Whitefield, Bangalore",0.766,5.0,1.0
Dilli Darbar,"107, Praveen Transport Complex, Near ITPL Gate 3, Pattandur, Agrahara, Whitefield, Bangalore",0.884,4.0,1.0
Dilli Darbar,"Food Court, SJRI, Tech Park, Opposite Satya Sai Hospital, Whitefield, Bangalore",0.827,1.0,1.0
Dilli Dil Se,"7, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru",0.784,2.0,1.0
Dilli Dil Se..,"535, 8th Cross Road, MS Ramaiah North City, Manayata Tech Park, Nagawara, Bangalore",0.514,45.0,0.756
Dilli Galli,"Opposite Sandeep Vihar, Whitefield - Hoskote Road, Kannamangala, Whitefield, Bangalore",0.132,3.0,0.667
Dilli Highway,"112, Ground Floor, Ramaiah Layout, 3rd Cross, Kammanahalli, Bangalore",0.129,30.0,0.467
Dilli Highway,"112, Ground Floor, Ramaiah Layout, 3rd Cross, Kammanahalli, Bangalore",0.139,35.0,0.514
Dilli in a Box,"234/A, 1st Main, Koramangala 7th Block, Bangalore",0.914,3.0,1.0
Dilli in a Box,"234/A, 1st Main, Koramangala 7th Block, Bangalore",0.922,3.0,1.0
Dilli6 Paratha,"1204/a, 23rd Cross, 25th B Main Road, Sector-2, HSR, Bangalore",-0.135,3.0,0.333
